"codigo","indice","fecha","tmax","tmin","ts07","ts14","ts21","ts","th07","th14","th21","th","pvp07","pvp14","pvp21","pvp","hr07","hr14","hr21","hr","p07","p14","p21","pd","fray","ftea","ftee","fgra","fchu","prn07","prn14","prn21","prn","rd07","rd14","rd21","rd","sa07","sa14","sa21","sa","nub07","nub14","nub21","nub","vis07","vis14","vis21","es07","es14","es21","er07","er21","pa07","pa14","pa21","pa","evap","ls07","ls08","ls09","ls10","ls11","ls12","ls13","ls14","ls15","ls16","ls17","ls18","lsm","lst","ls","codcaptura","tosc","erd"
A-31_23052018,A-31,2018-05-23,21,13.5,15.8,19.8,16.8,17.3,15.4,19.2,16.8,17.05,12.916948,16.381055,14.343431,14.547144,96,95,100,97,0,0.2,10.5,0,20:50:00,,,,17:20:00,,,,,C ,N ,C ,C ,0,1,0,0.3,6,8,6,6.6,5.0,3.0,0.2,1,1,2,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120185,7.5,1
A-31_09052018,A-31,2018-05-09,20.8,12.6,14.2,20.4,15,16.15,12.8,16.4,14.6,14.6,10.381429,11.983147,12.258271,11.540949,86,67,96,83,0,0,0,0,,,,,,,,,,C ,W ,C ,C ,0,1,0,0.3,4,10,3,5.6,6.0,5.0,0.2,1,0,1,"2","2",,,,,,,,,,,,,,,,,,,,,A-3120185,8.2,1
A-31_01052018,A-31,2018-05-01,23.8,13.5,15.2,21,16.2,17.15,15.2,18.6,15.8,16.35,12.949477,14.867394,13.257604,13.691491,100,80,96,92,3.7,0,0,5.1,,,,,,,,,,C ,SE,NE,SE,0,1,2,1.0,6,7,3,5.3,5.0,5.0,0.2,1,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120185,10.3,0
A-31_15052018,A-31,2018-05-15,24.4,13.2,14.4,22.8,16.6,17.6,14.1,17.6,16.2,16.025,11.911512,12.488502,13.606,12.668671,97,60,96,84,0,0,0,14.2,,,,,,,,,,C ,N ,C ,C ,0,1,0,0.3,3,6,10,6.3,6.0,5.0,0.1,2,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120185,11.2,0
A-31_02052018,A-31,2018-05-02,25,13.9,15.4,23.2,16.4,17.85,15.4,14.5,16.1,15.525,13.116948,8.028015,13.568167,11.571043,100,38,97,78,0,0,0,0,,,,,,,,,,E ,E ,NE,E ,2,3,3,2.6,3,5,4,4.0,6.0,5.0,0.1,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120185,11.1,1
A-31_10052018,A-31,2018-05-10,21.4,12.5,14.4,20,15.2,16.2,14.4,18.9,14.7,15.675,12.298213,15.821707,12.288984,13.469634,100,90,95,95,0,0,0,0,,,,,,,,,,C ,W ,C ,C ,0,1,0,0.3,4,10,3,5.6,6.0,2.0,0.1,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120185,8.9,1
A-31_03052018,A-31,2018-05-03,22.1,13.5,15.6,20.6,16.6,17.35,14.7,18.9,15.6,16.2,12.088984,15.521707,12.786318,13.465669,91,85,90,89,0,0,0,0,,,,,,,,,,E ,W ,NE,E ,1,1,2,1.3,0,10,3,4.3,6.0,4.0,0.1,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120185,8.6,1
A-31_04052018,A-31,2018-05-04,23,14.4,16.4,22.6,16.8,18.15,13.2,17,13.6,14.35,9.77525,11.726607,10.075897,10.525918,70,57,70,66,0,0,0,0,,,,,,,,,,N ,N ,NE,N ,2,2,3,2.3,3,4,4,3.6,6.0,6.0,0.2,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120185,8.6,1
A-31_05052018,A-31,2018-05-05,23.8,13.5,15.2,23,15.4,17.25,14.9,16.8,14.5,15.175,12.551789,11.243431,11.928015,11.907745,97,53,91,80,0,0,0,0,,,,,,,,,,N ,NE,NE,NE,2,3,3,2.6,3,4,2,3.0,6.0,6.0,0.1,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120185,10.3,1
A-31_06052018,A-31,2018-05-06,23.2,13.2,15.4,22.2,15.6,17.2,13.5,15.6,14.1,14.325,10.650088,9.986318,11.311512,10.649306,81,50,85,72,0,0,0,0,,,,,,,,,,NE,NE,NE,NE,2,3,4,3.0,0,5,3,2.6,6.0,5.0,0.1,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120185,10,1
