"codigo","indice","fecha","tmax","tmin","ts07","ts14","ts21","ts","th07","th14","th21","th","pvp07","pvp14","pvp21","pvp","hr07","hr14","hr21","hr","p07","p14","p21","pd","fray","ftea","ftee","fgra","fchu","prn07","prn14","prn21","prn","rd07","rd14","rd21","rd","sa07","sa14","sa21","sa","nub07","nub14","nub21","nub","vis07","vis14","vis21","es07","es14","es21","er07","er21","pa07","pa14","pa21","pa","evap","ls07","ls08","ls09","ls10","ls11","ls12","ls13","ls14","ls15","ls16","ls17","ls18","lsm","lst","ls","codcaptura","tosc","erd"
G-03_02052019,G-03,2019-05-02,34,22.5,23.4,33.2,27.4,27.85,22.4,25.2,23.6,23.7,19.813103,20.039746,19.943369,19.932072,92,53,73,73,0,0,0,0,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,10,10,0,6.6,8.0,8.0,8.0,0,0,0,"1",.,,,,,,,,,,,,,,,,,,,,,G-0320195,11.5,1
G-03_03052019,G-03,2019-05-03,36.4,20.6,24.4,34.8,21.4,25.5,22.8,25.6,20.8,22.5,20.012438,20.018038,18.118906,19.383127,87,48,95,77,0,0,59.4,0,18:30:00,,19:20:00,,,,,,,C ,C ,C ,C ,0,0,0,0.0,0,3,10,4.3,8.0,8.0,1.0,0,0,2,"1",.,,,,,,,,,,,,,,,,,,,,,G-0320195,15.8,1
G-03_04052019,G-03,2019-05-04,34.4,20.5,22,32.8,27.6,27.5,21.4,24.8,24.6,23.85,18.810294,19.473338,21.694526,19.992719,95,52,78,75,4.7,0,0,64.1,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,6,8,0,4.6,16.0,8.0,8.0,1,0,0,.,.,,,,,,,,,,,,,,,,,,,,,G-0320195,13.9,0
G-03_05052019,G-03,2019-05-05,36,24,25,34.4,28.2,28.95,23.2,25.6,25.4,24.9,20.422463,20.218038,22.927394,21.189298,86,50,80,72,0,0,0,0,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,10,1,0,3.6,8.0,8.0,8.0,0,0,0,"1",.,,,,,,,,,,,,,,,,,,,,,G-0320195,12,1
G-03_07052019,G-03,2019-05-07,35,22.4,23.6,33,26.2,27.25,22.8,26.4,23.6,24.1,20.412438,22.511109,20.543369,21.155638,93,60,81,78,5.4,0,0,5.4,16:30:00,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,10,8,9,9.0,8.0,8.0,8.0,1,0,0,.,.,,,,,,,,,,,,,,,,,,,,,G-0320195,12.6,0
G-03_06052019,G-03,2019-05-06,36.5,23.2,24.2,34.8,29.2,29.35,22.8,25.8,25.4,24.85,20.112438,20.411705,22.427394,20.983845,89,49,74,71,0.5,0,0,0.5,20:30:00,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,8,1,8,5.6,8.0,8.0,8.0,1,0,0,.,.,,,,,,,,,,,,,,,,,,,,,G-0320195,13.3,0
G-03_08052019,G-03,2019-05-08,35.2,24,25.2,33.8,28.2,28.85,24.4,25.8,24.8,24.95,22.518608,20.911705,21.773338,21.73455,94,53,76,74,0,0,0,0,19:00:00,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,8,9,4,7.0,8.0,8.0,8.0,1,0,0,"2","1",,,,,,,,,,,,,,,,,,,,,G-0320195,11.2,1
G-03_09052019,G-03,2019-05-09,35.5,25.5,26.2,34.6,28,29.2,25,26,25.2,25.35,23.15507,20.908422,22.639746,22.234412,91,51,80,74,0,0,0,0,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,7,1,2,3.3,4.0,8.0,8.0,1,0,0,"2","1",,,,,,,,,,,,,,,,,,,,,G-0320195,10,1
G-03_10052019,G-03,2019-05-10,35.5,24.5,25.4,34.2,26.8,28.3,24.4,25.8,24.8,24.95,22.418608,20.711705,22.473338,21.867883,92,51,85,76,0,0,0,0,,,14:38:00,,,,,,,C ,C ,C ,C ,0,0,0,0.0,5,2,10,5.6,8.0,8.0,8.0,1,0,0,"2","1",,,,,,,,,,,,,,,,,,,,,G-0320195,11,1
G-03_11052019,G-03,2019-05-11,34,22.2,23.6,30.8,26.6,26.9,22.8,25.8,24.4,24.35,20.412438,22.411705,21.818608,21.547583,93,67,84,81,8.7,0,0,8.7,,,,,,,,,,C ,S ,C ,C ,0,3,0,1.0,7,7,10,8.0,30.0,30.0,30.0,1,0,0,.,"1",,,,,,,,,,,,,,,,,,,,,G-0320195,11.8,1
