"codigo","indice","fecha","tmax","tmin","ts07","ts14","ts21","ts","th07","th14","th21","th","pvp07","pvp14","pvp21","pvp","hr07","hr14","hr21","hr","p07","p14","p21","pd","fray","ftea","ftee","fgra","fchu","prn07","prn14","prn21","prn","rd07","rd14","rd21","rd","sa07","sa14","sa21","sa","nub07","nub14","nub21","nub","vis07","vis14","vis21","es07","es14","es21","er07","er21","pa07","pa14","pa21","pa","evap","ls07","ls08","ls09","ls10","ls11","ls12","ls13","ls14","ls15","ls16","ls17","ls18","lsm","lst","ls","codcaptura","tosc","erd"
L-04_01052018,L-04,2018-05-01,33,21,21.4,31.4,25,25.7,21.2,24.4,22.6,22.7,18.777352,19.418608,19.361446,19.185802,98,56,82,79,3.8,0,0,13.3,20:30:00,20:30:00,,,,,,,,C ,N ,NW,N ,0,2,2,1.3,7,4,8,6.3,2.0,30.0,1.0,1,0,0,"1",.,,,,,,,,,,,,,,,,,,,,,L-0420185,12,1
L-04_02052018,L-04,2018-05-02,34,22.2,22.8,33.2,22.4,25.2,22.2,26.4,21.2,22.75,19.767385,22.411109,18.277352,20.151948,95,59,90,81,0,0,11.8,0,18:00:00,18:15:00,19:35:00,,,,,,,C ,N ,W ,N ,0,2,3,1.6,2,3,10,5.0,5.0,30.0,1.0,1,0,1,"0",.,,,,,,,,,,,,,,,,,,,,,L-0420185,11.8,1
L-04_03052018,L-04,2018-05-03,33,20,21.8,31.8,24.6,25.7,21.6,23.8,22.2,22.45,19.245745,18.107963,18.867385,18.740364,98,51,81,77,26.1,0,0,37.9,19:00:00,19:30:00,,,,,,,,C ,N ,NW,N ,0,2,2,1.3,7,4,6,5.6,5.0,30.0,1.0,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,L-0420185,13,1
L-04_04052018,L-04,2018-05-04,33,21.5,23.2,32.2,25.2,26.45,22.8,25.4,23.2,23.65,20.612438,20.927394,20.322463,20.620765,97,58,85,80,15.2,0,0,15.2,01:30:00,01:30:00,,,,,,,,C ,NE,W ,NE,0,2,2,1.3,6,2,6,4.6,2.0,30.0,1.0,1,0,0,"0",.,,,,,,,,,,,,,,,,,,,,,L-0420185,11.5,1
L-04_05052018,L-04,2018-05-05,33,20.5,22,32.6,24,25.65,21.4,25.8,21.4,22.5,18.810294,21.511705,17.810294,19.377431,95,58,80,78,0,0,0,0,,,,,,,,,,N ,W ,W ,W ,2,2,2,2.0,3,4,5,4.0,2.0,30.0,1.0,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,L-0420185,12.5,1
L-04_06052018,L-04,2018-05-06,33.5,19.5,20.4,31.6,24.2,25.1,20,24.2,22,22.05,17.331143,18.945558,18.724268,18.333656,96,54,83,78,0,0,0,0,,,,,,,,,,C ,NE,C ,C ,0,3,0,1.0,2,3,6,3.6,5.0,30.0,1.0,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,L-0420185,14,1
L-04_07052018,L-04,2018-05-07,32,20.5,22.2,30.4,24.4,25.35,21.6,22.4,21.2,21.6,19.045745,16.313103,17.277352,17.5454,95,50,75,73,0,0,0,0,,,,,,,,,,C ,N ,NE,N ,0,2,2,1.3,6,8,4,6.0,5.0,30.0,1.0,0,0,0,"1",.,,,,,,,,,,,,,,,,,,,,,L-0420185,11.5,1
L-04_08052018,L-04,2018-05-08,31.5,19,20.8,29.2,24.2,24.6,19.8,24.4,21.8,21.95,16.815143,20.518608,18.383729,18.572493,91,68,81,80,0,0,0,0,,,,,,,,,,C ,W ,W ,W ,0,3,2,1.6,2,8,4,4.6,5.0,30.0,1.0,0,0,0,"0",.,,,,,,,,,,,,,,,,,,,,,L-0420185,12.5,1
L-04_09052018,L-04,2018-05-09,31.5,22,22.4,30.4,24.2,25.3,22,24.2,22,22.55,19.624268,19.545558,18.724268,19.298031,97,60,83,80,0,0,0,0,,,,,,,,,,C ,W ,W ,W ,0,4,2,2.0,3,6,4,4.3,5.0,30.0,1.0,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,L-0420185,9.5,1
L-04_10052018,L-04,2018-05-10,31,18.5,21.6,28.6,24.2,24.65,21.2,24.4,22,22.4,18.677352,20.818608,18.724268,19.406742,97,71,83,84,12.2,0,0,12.2,04:30:00,,,,,,,,,C ,S ,NW,S ,0,2,2,1.3,9,7,6,7.3,2.0,30.0,1.0,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,L-0420185,12.5,1
