"codigo","indice","fecha","tmax","tmin","ts07","ts14","ts21","ts","th07","th14","th21","th","pvp07","pvp14","pvp21","pvp","hr07","hr14","hr21","hr","p07","p14","p21","pd","fray","ftea","ftee","fgra","fchu","prn07","prn14","prn21","prn","rd07","rd14","rd21","rd","sa07","sa14","sa21","sa","nub07","nub14","nub21","nub","vis07","vis14","vis21","es07","es14","es21","er07","er21","pa07","pa14","pa21","pa","evap","ls07","ls08","ls09","ls10","ls11","ls12","ls13","ls14","ls15","ls16","ls17","ls18","lsm","lst","ls","codcaptura","tosc","erd"
U-06_01052018,U-06,2018-05-01,29.6,21,22.8,26.9,22.8,23.825,20.1,21.9,19.2,20.1,16.290025,17.203678,14.881055,16.124919,78,65,72,72,0,0,0,0,,,,,,,,,,NE,S ,NE,NE,3,3,2,2.6,6,5,2,4.3,20.0,20.0,5.0,0,0,0,"1","1",,,,,,,,,,,,,,,,,,,,,U-0620185,8.6,1
U-06_03052018,U-06,2018-05-03,29.9,20.3,21.6,28.2,23,23.95,19.9,23.4,22.4,22.025,16.57285,19.181544,20.013103,18.589165,86,67,95,83,0,0,0,0,18:54:00,,,,,,,,,N ,S ,S ,S ,1,3,2,2.0,4,3,8,5.0,15.0,15.0,5.0,1,0,0,"2","1",,,,,,,,,,,,,,,,,,,,,U-0620185,9.6,1
U-06_04052018,U-06,2018-05-04,27.8,20.1,21.2,25.7,22.5,22.975,20.4,22.9,22.2,21.925,17.570229,19.538935,19.917385,19.008849,93,79,97,90,4.8,0,0,4.8,,,,,03:05:00,,,,,N ,SW,S ,N ,2,4,2,2.6,7,8,10,8.3,20.0,20.0,0.8,1,0,0,.,"0",,,,,,,,,,,,,,,,,,,,,U-0620185,7.7,1
U-06_05052018,U-06,2018-05-05,26.8,20.4,21.8,23.4,22.3,22.45,20.3,22.3,21.1,21.2,17.109565,19.639917,18.161815,18.303765,87,91,90,89,5.3,0,0,5.3,,,,,04:30:00,,,,,N ,S ,N ,N ,1,3,1,1.6,3,8,7,6.0,15.0,15.0,5.0,1,0,0,.,"0",,,,,,,,,,,,,,,,,,,,,U-0620185,6.4,1
U-06_07052018,U-06,2018-05-07,27.8,19.5,21.2,26.4,22,22.9,18.3,22.7,21.8,21.15,14.318047,18.83661,19.483729,17.546128,76,73,98,82,0,0,0,0,18:24:00,,,,,,,,,N ,S ,S ,S ,1,3,2,2.0,4,5,10,6.3,15.0,15.0,0.8,1,0,0,"2","0",,,,,,,,,,,,,,,,,,,,,U-0620185,8.3,1
U-06_08052018,U-06,2018-05-08,28.8,19.9,21.6,26.8,20.7,22.45,18.9,21.6,19.6,19.925,15.021707,16.745745,16.551476,16.106309,78,63,90,77,0.4,0,3.2,0.4,18:46:00,,,,17:11:00,,,,,N ,S ,C ,N ,2,2,0,1.3,2,6,9,5.6,20.0,20.0,5.0,0,0,1,.,.,,,,,,,,,,,,,,,,,,,,,U-0620185,8.9,0
U-06_09052018,U-06,2018-05-09,27,19,21,24.2,21,21.8,19.5,21.9,20.5,20.6,16.24551,18.553678,17.831492,17.54356,87,82,96,88,0.3,0,2.1,3.5,,,,,15:03:00,,,,,N ,S ,S ,S ,2,3,2,2.3,2,7,10,6.3,20.0,20.0,0.7,1,0,1,.,.,,,,,,,,,,,,,,,,,,,,,U-0620185,8,0
U-06_11052018,U-06,2018-05-11,28.2,19.2,21.8,25.8,22.1,22.95,20.6,22.7,21.9,21.775,17.593357,19.13661,19.603678,18.777881,90,77,98,88,13.8,0,0,13.8,18:48:00,,,,21:00:00,,,,,N ,S ,S ,S ,1,3,2,2.0,5,7,10,7.3,20.0,20.0,1.0,1,0,0,.,"1",,,,,,,,,,,,,,,,,,,,,U-0620185,9,1
U-06_12052018,U-06,2018-05-12,27.4,18.8,21,25.7,20.5,21.925,20.2,23.2,19.8,20.75,17.349498,20.072463,16.965143,18.129034,93,81,94,89,22.3,0,7.8,22.3,15:00:00,,19:00:00,,18:50:00,,,,,N ,S ,N ,N ,1,3,2,2.0,6,5,10,7.0,20.0,20.0,7.0,1,0,2,.,.,,,,,,,,,,,,,,,,,,,,,U-0620185,8.6,0
U-06_13052018,U-06,2018-05-13,28.3,19.4,21.6,24.6,21,22.05,20.5,23,20.9,21.325,17.531492,20.266102,18.482595,18.760063,91,87,99,92,10.2,0,8.8,18,,,,,14:15:00,,,,,N ,S ,SW,N ,2,3,2,2.3,4,9,10,7.6,30.0,15.0,0.8,1,0,1,.,.,,,,,,,,,,,,,,,,,,,,,U-0620185,8.9,0
